"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",49653.636,744.51,1265.243,10.509,1.567,15.626,6.319,1.473,37711.945,5468.592,90.591,27.231,28.349,781.736,110.436,301.993,24.423,1.307,0.443,4.141,22.091,6.065,6.031,2.846,0.473,1.761,191.068,145.653,20.28,301.987,2386.173,36.966,21.02,2.784,29.885,1.409,4461.747,5.398,3.444,1.095,16.446,35.832,50.658,81.007,157.339,160.263,59.241,153.026,68.652,0,15665.324,3.637,6.535,2234.217,70.343,0,6.572,7920.683,0,130588.022
"DOM_A02",293.613,2266.875,28.238,25.739,0.538,6.063,1.251,0.027,90.053,56.571,2091.228,187.126,0.685,23.643,0.914,85.703,11.909,0.47,0.135,0.46,1.549,0.339,0.361,0.111,0.085,0.109,259.355,146.249,0.331,63.524,104.455,0.798,0.567,0.17,0.63,0.061,20.825,0.374,0.635,0.259,0.691,2.494,0.83,1.004,11.088,5.171,0.575,8.894,1.555,0,974.19,0.588,24.21,0.318,0.269,0,0.035,16.099,0,6820.038
"DOM_A03",118.553,22.835,24746.475,3.572,0.029,8.244,1.035,0.001,11759.409,24.153,0.27,0.484,2.066,12.461,2.013,0.901,2.957,0.094,0.083,0.967,1.772,0.892,0.611,0.064,0.108,0.033,3.84,2.426,1.129,8.076,336.61,3.292,15.045,0.893,3.514,0.003,3149.159,2.047,1.325,1.25,10.66,12.703,3.132,1.883,96.268,31.017,13.613,18.593,8.404,0,6818.801,0,0.004,0.026,2.845,0,0.482,376.907,0,47634.031
"DOM_B05",11.088,0.715,0.241,671.314,2.901,73.28,8.658,4.275,8.676,18.586,1.134,14.005,1533.955,79.984,0.313,5.599,254.902,175.495,10.013,0.72,1.002,1.529,0.732,0.353,0.161,0.909,1.623,6265.202,0.879,46.131,7.618,3.082,0.123,0.262,1.184,0.044,1.341,0.032,0.203,0.04,0.294,2.841,0.455,0.185,4.861,4.61,0.215,0.217,1.005,0,12.502,0,0,0.012,0,0,0,376.921,0,9612.42
"DOM_B06",0.086,0.005,0.033,1.024,1.407,0.887,0.221,0.093,0.285,0.222,0.043,0.358,733.126,5.833,0.014,0.228,2.83,0.513,0.123,0.167,0.131,0.044,0.036,0.027,0.004,0.028,0.217,98.308,0.065,0.374,1.023,0.184,0.064,0.069,0.269,0.012,0.039,0.005,0.012,0.006,0.062,0.125,0.091,0.028,0.132,0.067,0.007,0.014,0.009,0,2.745,0,0,0.082,0,0,0,2103.779,0,2955.557
"DOM_B07",93.335,3.281,21.21,854.224,88.211,26641.237,767.135,165.979,111.664,70.756,11.31,25.84,3874.103,2222.706,10.93,78.108,6929.295,10776.13,5467.288,1240.458,731.191,753.713,211.504,119.33,9.525,91.217,809.965,1712.716,69.255,3872.59,144.208,31.083,4.671,4.386,14.767,0.576,14.711,1.026,1.905,0.557,8.314,36.173,30.395,8.717,15.727,5.107,1.008,5.145,9.306,0,97.568,0.039,0,0.689,0,0,0.089,3740.572,0,72010.941
"DOM_B08",64.293,8.159,63.685,18.665,3.052,50.513,12.87,2.886,18.827,19.56,4.612,6.35,318.138,89.688,1.618,6.615,215.668,10.77,1.289,5.693,15.854,7.208,2.819,3.014,0.327,1.342,20.203,90.51,8.768,440.16,102.075,146.403,60.496,92.622,25.309,3.072,7.57,1.127,4.227,1.107,15.169,33.611,11.595,6.851,24.044,9.668,1.728,4.434,3.091,0,137.061,0,0.036,950.71,1.043,0,0.368,133.034,0,3289.606
"DOM_B09",6.112,0.343,30.366,159.8,171.622,226.386,74.492,126.952,4.015,4.484,0.472,4.229,422.421,3.032,0.3,2.461,56.464,3.594,1.087,0.707,6.422,0.955,0.482,0.303,0.035,0.199,1.469,108.666,0.601,58.733,16.326,7.401,5.097,5.708,9.729,0.511,1.071,0.419,0.518,0.135,0.844,1.37,2.435,0.409,1.125,0.443,0.164,0.292,0.159,0,8.947,0.004,0.012,1.294,0,0,0.013,23.256,0,1564.886
"DOM_C10T12",12341.593,28.533,2272.406,22.002,5.614,38.751,9.699,1.936,10378.094,2296.791,11.363,78.378,106.642,782.278,85.19,41.73,65.884,7.228,2.231,13.622,32.969,13.071,7.827,3.794,0.594,3.872,107.996,192.356,24.678,92.386,1661.77,49.993,86.73,19.667,54.49,5.174,8786.239,31.557,28.479,13.967,122.729,97.264,63.245,38.923,238.663,351.873,75.785,287.557,60.907,0,36124.077,0.01,4.878,17.749,73.194,0,28.401,23015.269,0,100408.101
"DOM_C13T15",28.166,6.156,81.336,25.395,3.483,35.457,3.716,2.29,21.244,22884.824,11.437,33.373,20.93,34.579,5.04,39.686,48.98,3.785,0.778,13.485,48.652,13.339,9.042,23.721,1.502,6.499,473.054,28.078,14.858,118.995,354.888,19.408,3.799,7.736,17.455,8.477,53.139,6.218,8.302,2.508,18.705,13.703,44.475,44.299,134.693,53.678,22.336,83.95,51.458,0,16690.801,0,0.02,4.223,137.669,0,20.127,67297.497,0,109141.444
"DOM_C16",5.503,1.772,1.254,1.382,0.077,1.543,0.225,0.054,3.799,11.041,72.111,8.849,0.414,4.151,0.186,1.933,8.861,0.175,0.076,1.566,2.739,1.317,0.563,0.909,0.38,0.398,103.181,3.236,0.241,134.413,10.105,0.759,0.094,0.084,1.666,0.022,1.484,0.234,0.174,0.056,0.291,3.128,2.286,0.602,0.429,0.721,0.165,0.697,1.11,0,98.601,0,0.004,0.323,10.377,0,0.414,5804.647,0,6310.822
"DOM_C17_18",118.68,4.949,60.003,8.155,3.939,44.529,4.24,1.776,671.465,846.066,68.318,4309.847,37.544,270.515,73.827,162.191,406.572,6.786,3.121,56.39,207.968,80.327,33.791,20.108,1.473,14.785,487.536,68.38,21.311,200.306,1259.833,52.323,21.33,10.825,66.355,28.009,105.509,193.772,71.333,59.842,521.686,67.111,627.676,146.207,273.104,362.444,35.991,109.068,59.085,0,403.023,0.003,17.724,0.421,5.131,0,2.727,2006.114,0,14801.541
"DOM_C19",1595.402,208.726,1826.247,450.77,74.575,1192.204,153.997,67.35,316.986,512.421,103.555,162.681,9264.795,2306.21,28.347,167.288,837.97,187.095,17.324,91.824,118.464,126.597,43.116,57.093,3.918,26.809,380.002,2172.116,180.557,1586.14,2646.249,4375.248,1754.872,2800.829,650.06,88.494,146.367,27.39,74.284,28.66,373.275,122.03,212.806,178.94,458.458,173.443,35.204,97.164,73.767,0,2683.975,0.004,0.698,1.751,9.165,0,9.931,1876.516,0,43160.158
"DOM_C20",4147.756,28.391,111.062,200.456,29.084,603.277,76.888,21.486,455.918,3861.296,251.938,739.5,1981.971,11267.783,351.88,4350.407,1218.731,59.927,20.344,202.483,719.468,300.161,83.022,111.159,19.018,45.977,1296.231,123.448,145.628,1018.404,412.034,40.141,17.162,20.238,67.773,2.66,95.072,29.914,6.754,11.403,48.733,117.886,152.086,80.452,65.974,97.075,63.718,50.086,120.701,0,590.718,0.078,28.433,7.958,-0.801,0,2.64,11959.217,0,47931.199
"DOM_C21",690.987,1.1,68.556,21.579,4.604,86.101,3.144,0.597,118.361,117.559,2.332,2.027,10.006,239.583,1801.875,7.679,5.23,1.595,0.393,1.781,8.552,0.763,7.024,0.716,0.066,0.624,97.773,14.732,18.105,19.589,134.737,13.812,7.279,5.179,6.431,1.327,5.426,1.113,0.58,0.177,5.63,5.765,168.695,5.121,224.439,72.129,1159.01,34.871,21.905,0,1712.703,0.026,1.36,3.657,4.632,0,2.208,245.371,0,7196.621
"DOM_C22",360.232,16.798,99.759,89.663,14.627,132.806,17.468,5.7,712.556,2455.04,71.79,226.986,115.026,634.78,87.534,2046.303,293.704,11.06,5.826,146.548,696.623,377.454,146.575,269.897,8.088,101.406,931.757,40.758,59.834,1804.893,1171.842,267.654,21.751,12.422,66.286,6.208,45.333,11.317,13.867,3.732,47.831,76.399,98.274,48.703,35.326,40.359,14.886,27.178,26.633,0,324.418,0,0.006,10.104,10.842,0,0.074,8716.833,0,23079.766
"DOM_C23",320.555,14.294,62.387,56.008,21.069,387.793,52.383,8.747,623.023,123.145,101.44,16.877,77.869,313.39,56.807,290.26,9720.092,131.545,14.202,155.95,628.669,235.838,60.808,116.846,13.212,31.198,516.463,129.92,58.715,20959.569,402.678,37.973,34.199,2.089,41.643,2.032,101.162,1.738,5.184,0.89,29.595,605.716,100.346,23.329,47.325,89.948,10.915,31.334,31.294,0,601.987,0,0.01,1.22,3.156,0,0.006,3607.64,0,41112.481
"DOM_C24A",37.792,4.092,6.573,105.568,49.651,209.421,6.692,8.103,17.401,69.453,24.709,12.405,59.966,40.494,2.121,139.44,371.4,2093.21,33.504,3003.178,530.166,544.77,858.18,411.259,69.057,377.638,758.778,105.876,115.24,3709.113,170.905,16.257,10.563,0.312,27.059,0.281,1.709,0.24,0.647,0.179,3.697,38.414,46.9,4.61,8.108,7.415,0.578,5.898,6.051,0,1.234,0,0.002,0.943,0,0,0.001,8962.147,0,23089.403
"DOM_C24B",225.456,15.896,100.195,62.708,11.649,155.139,12.036,6.77,229.422,249.99,32.986,47.721,123.223,148.72,14.633,75.642,162.74,93.122,36.399,345.518,528.399,158.38,141.491,75.198,13.258,55.353,275.118,110.64,69.4,1017.463,246.393,64.898,11.788,10.371,34.376,5.142,54.639,3.938,20.334,4.614,17.115,37.274,38.466,14.269,55.292,22.846,10.177,11.182,10.473,0,425.537,0.091,0.655,454.299,0.905,0,7.325,2080.634,0,8237.696
"DOM_C25",161.971,19.34,35.257,164.05,33.845,239.373,18.482,19.043,302.642,427.571,88.92,41.246,101.134,210.433,19.711,160.286,251.63,129.861,13.987,1256.733,1023.498,369.439,503.411,251.093,49.099,190.379,891.361,110.399,35.001,3525.983,589.805,40.983,16.932,8.715,43.62,2.246,40.752,14.747,51.338,13.583,98.577,123.29,218.378,44.832,121.034,40.858,6.962,34.557,26.984,0,222.637,0.062,49.712,75.812,16.032,0,0.317,7826.365,0,20374.308
"DOM_C26",58.017,13.138,53.93,55.179,25.303,129.616,9.666,9.361,42.576,143.862,11.979,54.632,170.252,188.413,18.744,68.85,120.434,11.722,5.426,192.099,65436.781,2699.403,751.53,348.472,83.577,246.431,1475.288,586.109,83.94,1738.221,2254.678,84.684,67.806,95.585,178.778,30.487,69.471,177.496,2162.273,454.999,373.462,97.998,882.842,190.55,373.586,379.856,157.729,198.509,259.905,0,581.578,0.004,0.476,1884.41,296.002,0,1.368,134476.106,0,220563.588
"DOM_C27",30.466,1.887,19.771,25.852,3.348,69.272,8.114,4.759,14.452,25.617,3.67,12.111,13.939,27.307,2.486,21.604,37.938,6.558,2.279,53.538,1061.858,1551.393,169.205,149.94,8.905,69.848,289.091,517.41,16.563,1417.855,309.125,43.263,18.827,7.555,22.185,1.553,17.592,8.314,105.49,12.981,12.498,31.593,86.806,25.215,51.669,22.597,6.286,31.63,25.011,0,1527.969,0,0.007,661.519,128.247,0,0.639,17683.958,0,26479.566
"DOM_C28",29.02,9.207,18.919,75.236,14.543,111.382,10.068,7.75,17.243,36.181,6.268,12.607,47.062,22.037,1.63,15.204,73.959,7.634,1.162,30.271,67.471,58.876,218.267,37.898,8.106,24.338,135.121,71.555,11.309,254.348,82.945,12.982,2.223,1.99,9.866,0.762,1.654,1.155,4.671,1.575,14.02,3.309,18.668,11.219,12.854,6.073,1.52,4.662,3.085,0,355.669,0,0.007,1708.988,335.467,0,0.001,7822.837,0,11852.878
"DOM_C29",5.256,5.403,3.466,1.182,0.726,13.568,1.222,0.491,1.664,2.184,0.814,0.515,3.807,3.355,0.177,2.373,10.68,0.725,0.291,3.488,10.431,9.224,9.367,545.025,0.42,11.827,16.592,6.754,3.117,25.748,238.102,87.571,7.628,8.508,12.421,0.751,0.519,0.422,1.044,0.492,2.353,1.706,4.163,6.499,4.549,2.595,0.32,1.723,0.834,0,550.659,0,0.005,1220.119,238.224,0,0.558,5482.425,0,8574.082
"DOM_C301",0.065,0.011,4.313,0.03,0.071,0.2,0.018,0.002,0.039,0.065,0.006,0.01,0.031,0.029,0.003,0.021,0.03,0.008,0.002,0.063,0.293,0.088,0.217,0.204,21.504,7.322,2.723,0.071,0.015,0.211,0.515,0.828,26.6,4.716,1.171,0.006,0.014,0.002,0.008,0.002,0.044,0.013,0.06,0.084,3.662,0.032,0.004,0.068,0.09,0,3.367,0,0,166.017,33.476,0,0,775.175,0,1053.615
"DOM_C302T309",0.116,0.283,5.528,0.457,0.024,0.543,0.02,0.028,0.157,0.192,0.034,0.015,0.019,0.077,0.003,0.077,0.143,0.033,0.007,0.528,1.125,0.647,0.596,4.826,2.599,156.68,12.149,0.144,0.043,1.237,6.968,16.073,4.963,32.775,1.645,0.035,0.026,0.002,0.008,0.008,0.07,0.058,0.286,0.812,8.444,0.137,0.125,0.12,0.487,0,123.724,0,0.008,995.013,195.101,0,0,3265.105,0,4840.323
"DOM_C31T33",664.838,52.558,295.293,176.642,50.201,347.324,68.473,25.61,156.928,597.136,42.75,99.089,351.92,237.32,136.661,76.716,327.737,63.055,8.475,86.578,211.618,90.146,64.015,40.182,5.66,51.089,1213.401,729.548,96.213,511.442,529.333,322.441,172.71,440.839,159.03,10.555,65.404,11.599,81.935,21.642,151.459,77.543,132.624,79.544,157.817,132.092,128.162,102.531,34.836,0,4505.206,0.121,48.245,2496.448,524.724,0,13.744,17158.288,0,34437.492
"DOM_D",1963.931,78.439,532.303,970.313,266.631,2095.941,278.676,35.84,1102.446,2955.846,221.88,955.333,3187.62,2470.832,103.18,832.024,2666.798,494.481,91.498,445.806,908.427,300.26,163.184,149.134,18.053,115.329,743.925,14787.241,655.764,835.919,4200.751,950.85,39.659,35.867,500.696,55.735,1078.148,105.4,450.084,67.627,823.664,1147.441,392.828,160.546,874.566,1092.712,165.781,549.035,242.899,0,2828.356,0.4,69.867,2.262,0.657,0,0.052,109.376,0,56372.314
"DOM_E",243.193,5.653,56.548,55.294,11.287,132.909,14.568,6.184,127.853,226.337,18.423,181.179,187.543,139.385,10.901,45.184,152.456,176.743,35.823,37.69,52.341,21.332,14.627,8.718,1.553,13.954,62.164,249.467,885.734,174.061,403.964,44.443,13.884,4.932,48.623,5.777,141.455,5.412,9.97,3.953,88.513,157.52,51.532,22.756,308.262,200.076,36.117,55.182,28.72,0,1292.38,1.044,51.097,3.344,0.24,0,0.036,22.263,0,6350.599
"DOM_F",416.92,84.732,127.652,119.538,17.804,161.743,21.016,20.043,51.571,177.543,15.722,26.06,164.395,75.239,6.723,34.407,138.462,18.048,4.359,55,70.333,32.83,19.215,11.481,3.434,12.09,183.42,813.952,185.097,12231.299,934.893,174.011,28.977,18.987,288.167,12.399,106.375,16.967,139.17,10.829,346.73,2152.873,327.677,57.647,748.787,281.179,35.037,82.357,30.481,0,3425.914,0.001,0.193,86897.195,0.143,0,1.707,66.986,0,111485.807
"DOM_G",4841.914,160.547,2018.811,185.506,33.198,562.768,55.771,22.754,4225.503,5602.08,185.027,507.175,1104.461,1922.344,393.538,865.367,1197.629,320.82,66.477,518.419,8912.127,895.059,399.158,431.65,35.411,154.345,1170.325,680.109,110.158,3076.278,3934.088,678.719,197.985,259.33,196.41,23.518,1323.426,73.705,411.912,95.27,208.45,175.718,366.015,176.818,257.798,196.536,247.922,177.021,106.768,0,15136.143,0.632,22.404,2805.756,0.01,0,10.031,22661.882,0,90398.994
